Protein.genes.secondaryIdentifier	Protein.proteinHalfLife.units	Protein.proteinHalfLife.value	Protein.proteinHalfLife.publication.firstAuthor	Protein.proteinHalfLife.publication.year
YOL115W	hr	9.0	Christiano R	2014
YOL121C	hr	9.8	Christiano R	2014
YOL122C	hr	1.3	Christiano R	2014
YOL123W	hr	9.2	Christiano R	2014
YOL124C	hr	8.4	Christiano R	2014
YOL125W	hr	9.0	Christiano R	2014
YOL126C	hr	2.8	Christiano R	2014
YOL127W	hr	9.8	Christiano R	2014
YOL128C	hr	10000.0	Christiano R	2014
YOL133W	hr	6.7	Christiano R	2014
YOL135C	hr	7.9	Christiano R	2014
YOL138C	hr	9.1	Christiano R	2014
YOL139C	hr	9.8	Christiano R	2014
YOL140W	hr	10000.0	Christiano R	2014
YOL141W	hr	6.7	Christiano R	2014
YOL142W	hr	9.5	Christiano R	2014
YOL143C	hr	8.2	Christiano R	2014
YOL144W	hr	8.4	Christiano R	2014
YOL145C	hr	10.6	Christiano R	2014
YOL146W	hr	13.2	Christiano R	2014
YOL147C	hr	8.2	Christiano R	2014
YOL148C	hr	9.4	Christiano R	2014
YOL149W	hr	9.1	Christiano R	2014
YOL151W	hr	5.5	Christiano R	2014
YOL154W	hr	10000.0	Christiano R	2014
YOL158C	hr	7.4	Christiano R	2014
YOL159C-A	hr	17.9	Christiano R	2014
YOR001W	hr	12.0	Christiano R	2014
YOR004W	hr	8.9	Christiano R	2014
YOR006C	hr	4.6	Christiano R	2014
YOR007C	hr	10.2	Christiano R	2014
YOR008C	hr	5.4	Christiano R	2014
YOR014W	hr	8.8	Christiano R	2014
YOR016C	hr	9.8	Christiano R	2014
YOR017W	hr	6.7	Christiano R	2014
YOR018W	hr	8.1	Christiano R	2014
YOR020C	hr	13.3	Christiano R	2014
YOR020W-A	hr	4.6	Christiano R	2014
YOR021C	hr	9.2	Christiano R	2014
YOR022C	hr	8.1	Christiano R	2014
YOR023C	min	59.2	Christiano R	2014
YOR026W	hr	10.1	Christiano R	2014
YOR027W	hr	16.5	Christiano R	2014
YOR028C	min	39.0	Christiano R	2014
YOR034C	hr	2.1	Christiano R	2014
YOR035C	hr	7.6	Christiano R	2014
YOR036W	hr	9.5	Christiano R	2014
YOR037W	hr	8.4	Christiano R	2014
YOR038C	hr	8.3	Christiano R	2014
YOR039W	hr	10.6	Christiano R	2014
YOR040W	hr	6.2	Christiano R	2014
YOR042W	hr	10.0	Christiano R	2014
YOR045W	hr	8.0	Christiano R	2014
YOR046C	hr	10.1	Christiano R	2014
YOR048C	hr	8.0	Christiano R	2014
YOR051C	hr	10.4	Christiano R	2014
YOR052C	min	37.9	Christiano R	2014
YOR054C	hr	6.5	Christiano R	2014
YOR056C	hr	7.9	Christiano R	2014
YOR057W	hr	10.4	Christiano R	2014
YOR058C	hr	71.5	Christiano R	2014
YOR061W	hr	10.5	Christiano R	2014
YOR063W	hr	9.2	Christiano R	2014
YOR069W	hr	10.4	Christiano R	2014
YOR070C	hr	8.8	Christiano R	2014
YOR074C	hr	10.4	Christiano R	2014
YOR075W	hr	4.2	Christiano R	2014
YOR076C	hr	6.5	Christiano R	2014
YOR078W	hr	3.2	Christiano R	2014
YOR081C	hr	2.1	Christiano R	2014
YOR085W	hr	9.0	Christiano R	2014
YOR086C	hr	9.9	Christiano R	2014
YOR087W	hr	15.0	Christiano R	2014
YOR089C	hr	5.2	Christiano R	2014
YOR090C	hr	7.5	Christiano R	2014
YOR091W	hr	6.9	Christiano R	2014
YOR093C	hr	5.6	Christiano R	2014
YOR094W	hr	9.6	Christiano R	2014
YOR095C	hr	8.8	Christiano R	2014
YOR096W	hr	9.9	Christiano R	2014
YOR097C	hr	4.7	Christiano R	2014
YOR098C	hr	5.0	Christiano R	2014
YOR099W	hr	3.1	Christiano R	2014
YOR101W	hr	7.0	Christiano R	2014
YOR103C	hr	7.1	Christiano R	2014
YOR106W	hr	7.8	Christiano R	2014
YOR108W	hr	6.5	Christiano R	2014
YOR109W	hr	10.5	Christiano R	2014
YOR110W	hr	6.8	Christiano R	2014
YOR111W	hr	7.0	Christiano R	2014
YOR112W	hr	11.3	Christiano R	2014
YOR113W	hr	3.1	Christiano R	2014
YOR116C	hr	5.1	Christiano R	2014
YOR117W	hr	9.8	Christiano R	2014
YOR118W	hr	7.1	Christiano R	2014
YOR120W	hr	4.7	Christiano R	2014
YOR122C	hr	10.8	Christiano R	2014
YOR123C	hr	9.2	Christiano R	2014
YOR124C	hr	11.1	Christiano R	2014
YOR125C	hr	8.1	Christiano R	2014
YOR126C	hr	9.3	Christiano R	2014
YOR127W	hr	10000.0	Christiano R	2014
YOR128C	hr	10.6	Christiano R	2014
YOR129C	hr	6.1	Christiano R	2014
YOR130C	hr	12.4	Christiano R	2014
YOR131C	hr	13.2	Christiano R	2014
YOR132W	hr	11.8	Christiano R	2014
YOR136W	hr	15.5	Christiano R	2014
YOR138C	hr	10.6	Christiano R	2014
YOR140W	hr	9.2	Christiano R	2014
YOR141C	hr	11.5	Christiano R	2014
YOR142W	hr	8.4	Christiano R	2014
YOR143C	hr	10.4	Christiano R	2014
YOR145C	hr	5.3	Christiano R	2014
YOR148C	hr	3.1	Christiano R	2014
YOR149C	hr	12.7	Christiano R	2014
YOR150W	hr	7.2	Christiano R	2014
YOR151C	hr	6.6	Christiano R	2014
YOR153W	hr	8.2	Christiano R	2014
YOR155C	hr	12.3	Christiano R	2014
YOR157C	hr	1.6	Christiano R	2014
YOR158W	hr	6.4	Christiano R	2014
YOR160W	hr	8.8	Christiano R	2014
YOR163W	hr	7.0	Christiano R	2014
YOR164C	hr	7.5	Christiano R	2014
YOR165W	hr	9.3	Christiano R	2014
YOR166C	hr	14.6	Christiano R	2014
YOR167C	hr	10.1	Christiano R	2014
YOR168W	hr	10.6	Christiano R	2014
YOR171C	hr	5.0	Christiano R	2014
YOR173W	hr	9.5	Christiano R	2014
YOR174W	hr	19.2	Christiano R	2014
YOR175C	hr	20.0	Christiano R	2014
YOR176W	hr	10.6	Christiano R	2014
YOR179C	hr	7.3	Christiano R	2014
YOR181W	hr	6.6	Christiano R	2014
YOR184W	hr	11.3	Christiano R	2014
YOR185C	hr	8.9	Christiano R	2014
YOR187W	hr	9.3	Christiano R	2014
YOR188W	hr	3.6	Christiano R	2014
YOR189W	hr	4.4	Christiano R	2014
YOR191W	hr	12.0	Christiano R	2014
YOR194C	hr	8.3	Christiano R	2014
YOR195W	hr	5.0	Christiano R	2014
YOR196C	hr	4.6	Christiano R	2014
YOR197W	hr	10.0	Christiano R	2014
YOR198C	hr	12.6	Christiano R	2014
YOR204W	hr	9.1	Christiano R	2014
YOR205C	hr	6.8	Christiano R	2014
YOR206W	hr	9.9	Christiano R	2014
YOR207C	hr	6.7	Christiano R	2014
YOR209C	hr	10.7	Christiano R	2014
YOR210W	hr	25.7	Christiano R	2014
YOR211C	hr	8.4	Christiano R	2014
YOR212W	hr	7.4	Christiano R	2014
YOR213C	hr	6.9	Christiano R	2014
YOR215C	hr	5.1	Christiano R	2014
YOR216C	hr	9.7	Christiano R	2014
YOR217W	hr	7.7	Christiano R	2014
YOR219C	hr	8.9	Christiano R	2014
YOR220W	hr	5.6	Christiano R	2014
YOR221C	hr	14.2	Christiano R	2014
YOR222W	hr	9.8	Christiano R	2014
YOR224C	hr	12.3	Christiano R	2014
YOR226C	min	44.7	Christiano R	2014
YOR227W	hr	9.3	Christiano R	2014
YOR229W	hr	8.3	Christiano R	2014
YOR230W	hr	15.4	Christiano R	2014
YOR231W	hr	3.8	Christiano R	2014
YOR232W	hr	9.2	Christiano R	2014
YOR233W	hr	6.5	Christiano R	2014
YOR234C	hr	9.8	Christiano R	2014
YOR236W	hr	6.7	Christiano R	2014
YOR238W	hr	5.5	Christiano R	2014
YOR239W	hr	10.0	Christiano R	2014
YOR241W	hr	10.0	Christiano R	2014
YOR243C	hr	8.3	Christiano R	2014
YOR244W	hr	13.4	Christiano R	2014
YOR246C	hr	6.8	Christiano R	2014
YOR250C	hr	12.3	Christiano R	2014
YOR251C	hr	9.8	Christiano R	2014
YOR252W	hr	5.0	Christiano R	2014
YOR253W	hr	9.2	Christiano R	2014
YOR254C	hr	10.2	Christiano R	2014
YOR256C	hr	1.0	Christiano R	2014
YOR257W	hr	9.6	Christiano R	2014
YOR259C	hr	11.2	Christiano R	2014
YOR260W	hr	10.7	Christiano R	2014
YOR261C	hr	9.8	Christiano R	2014
YOR262W	hr	10.2	Christiano R	2014
YOR264W	hr	1.5	Christiano R	2014
YOR265W	hr	10.5	Christiano R	2014
YOR266W	hr	13.9	Christiano R	2014
YOR267C	hr	7.7	Christiano R	2014
YOR270C	hr	12.9	Christiano R	2014
YOR271C	hr	11.5	Christiano R	2014
YOR272W	hr	8.0	Christiano R	2014
YOR274W	hr	9.6	Christiano R	2014
YOR275C	hr	9.7	Christiano R	2014
YOR276W	hr	8.1	Christiano R	2014
YOR278W	min	45.3	Christiano R	2014
YOR279C	hr	3.4	Christiano R	2014
YOR280C	hr	8.0	Christiano R	2014
YOR281C	hr	11.8	Christiano R	2014
YOR283W	hr	11.0	Christiano R	2014
YOR285W	hr	9.5	Christiano R	2014
YOR286W	hr	8.6	Christiano R	2014
YOR287C	hr	5.3	Christiano R	2014
YOR288C	hr	9.8	Christiano R	2014
YOR289W	hr	19.1	Christiano R	2014
YOR290C	hr	4.6	Christiano R	2014
YOR294W	hr	8.0	Christiano R	2014
YOR296W	hr	11.5	Christiano R	2014
YOR297C	hr	6.7	Christiano R	2014
YOR298C-A	hr	11.0	Christiano R	2014
YOR301W	hr	2.9	Christiano R	2014
YOR303W	hr	4.3	Christiano R	2014
YOR304C-A	hr	4.8	Christiano R	2014
YOR304W	hr	8.6	Christiano R	2014
YOR307C	hr	4.6	Christiano R	2014
YOR308C	hr	8.5	Christiano R	2014
YOR310C	hr	9.6	Christiano R	2014
YOR311C	hr	9.1	Christiano R	2014
YOR316C	hr	3.1	Christiano R	2014
YOR317W	hr	7.8	Christiano R	2014
YOR319W	hr	9.1	Christiano R	2014
YOR320C	hr	6.5	Christiano R	2014
YOR321W	hr	6.8	Christiano R	2014
YOR323C	hr	11.5	Christiano R	2014
YOR326W	hr	9.5	Christiano R	2014
YOR327C	hr	5.6	Christiano R	2014
YOR330C	hr	10000.0	Christiano R	2014
YOR332W	hr	9.4	Christiano R	2014
YOR334W	min	46.9	Christiano R	2014
YOR335C	hr	9.5	Christiano R	2014
YOR336W	hr	7.1	Christiano R	2014
YOR340C	hr	8.7	Christiano R	2014
YOR341W	hr	6.8	Christiano R	2014
YOR342C	min	33.7	Christiano R	2014
YOR346W	hr	1.1	Christiano R	2014
YOR347C	hr	7.7	Christiano R	2014
YOR352W	hr	17.7	Christiano R	2014
YOR353C	hr	10.7	Christiano R	2014
YOR354C	hr	7.7	Christiano R	2014
YOR355W	min	52.7	Christiano R	2014
YOR356W	hr	6.1	Christiano R	2014
YOR357C	hr	8.2	Christiano R	2014
YOR358W	hr	10.2	Christiano R	2014
YOR359W	hr	6.5	Christiano R	2014
YOR360C	hr	39.4	Christiano R	2014
YOR361C	hr	10.5	Christiano R	2014
YOR362C	hr	12.2	Christiano R	2014
YOR367W	hr	4.9	Christiano R	2014
YOR368W	hr	2.1	Christiano R	2014
YOR369C	hr	9.8	Christiano R	2014
YOR370C	hr	6.9	Christiano R	2014
YOR371C	hr	7.4	Christiano R	2014
YOR373W	hr	3.6	Christiano R	2014
YOR374W	hr	3.3	Christiano R	2014
YOR375C	hr	17.3	Christiano R	2014
YOR377W	hr	27.2	Christiano R	2014
YOR385W	hr	4.5	Christiano R	2014
YPL001W	hr	11.0	Christiano R	2014
YPL002C	hr	8.1	Christiano R	2014
YPL004C	hr	5.8	Christiano R	2014
YPL006W	hr	6.1	Christiano R	2014
YPL007C	hr	8.9	Christiano R	2014
YPL008W	hr	5.0	Christiano R	2014
YPL009C	hr	8.8	Christiano R	2014
YPL011C	hr	5.8	Christiano R	2014
YPL012W	hr	9.8	Christiano R	2014
YPL013C	hr	7.0	Christiano R	2014
YPL015C	hr	8.6	Christiano R	2014
YPL016W	hr	7.0	Christiano R	2014
YPL019C	hr	11.5	Christiano R	2014
YPL020C	hr	6.4	Christiano R	2014
YPL023C	hr	6.9	Christiano R	2014
YPL028W	hr	12.0	Christiano R	2014
YPL029W	hr	6.4	Christiano R	2014
YPL030W	hr	12.3	Christiano R	2014
YPL031C	hr	9.9	Christiano R	2014
YPL032C	hr	9.5	Christiano R	2014
YPL037C	hr	11.0	Christiano R	2014
YPL038W	hr	3.0	Christiano R	2014
YPL040C	hr	9.4	Christiano R	2014
YPL043W	hr	6.0	Christiano R	2014
YPL045W	hr	12.0	Christiano R	2014
YPL046C	hr	4.5	Christiano R	2014
YPL048W	hr	10.1	Christiano R	2014
YPL049C	hr	6.9	Christiano R	2014
YPL050C	hr	9.0	Christiano R	2014
YPL051W	hr	8.1	Christiano R	2014
YPL053C	hr	2.3	Christiano R	2014
YPL058C	hr	12.0	Christiano R	2014
YPL059W	hr	7.2	Christiano R	2014
YPL061W	hr	4.0	Christiano R	2014
YPL063W	hr	9.6	Christiano R	2014
YPL064C	hr	10.6	Christiano R	2014
YPL065W	hr	17.3	Christiano R	2014
YPL067C	hr	10000.0	Christiano R	2014
YPL069C	hr	6.7	Christiano R	2014
YPL070W	hr	12.2	Christiano R	2014
YPL072W	hr	13.6	Christiano R	2014
YPL074W	hr	8.3	Christiano R	2014
YPL075W	hr	9.9	Christiano R	2014
YPL078C	hr	6.0	Christiano R	2014
YPL079W	hr	9.9	Christiano R	2014
YPL082C	hr	6.6	Christiano R	2014
YPL083C	hr	8.3	Christiano R	2014
YPL084W	hr	9.7	Christiano R	2014
YPL085W	hr	10.7	Christiano R	2014
YPL086C	hr	12.9	Christiano R	2014
YPL091W	hr	8.5	Christiano R	2014
YPL092W	hr	49.8	Christiano R	2014
YPL093W	hr	5.6	Christiano R	2014
YPL094C	hr	9.9	Christiano R	2014
YPL096W	hr	5.8	Christiano R	2014
YPL098C	hr	8.4	Christiano R	2014
YPL099C	hr	9.7	Christiano R	2014
YPL101W	hr	8.7	Christiano R	2014
YPL103C	hr	6.1	Christiano R	2014
YPL104W	hr	6.5	Christiano R	2014
YPL105C	hr	8.6	Christiano R	2014
YPL106C	hr	13.0	Christiano R	2014
YPL108W	hr	8.3	Christiano R	2014
YPL110C	hr	7.4	Christiano R	2014
YPL111W	hr	9.8	Christiano R	2014
YPL112C	hr	7.1	Christiano R	2014
YPL113C	hr	12.8	Christiano R	2014
YPL115C	hr	9.6	Christiano R	2014
YPL116W	hr	11.4	Christiano R	2014
YPL117C	hr	10.6	Christiano R	2014
YPL118W	hr	5.4	Christiano R	2014
YPL119C	hr	13.4	Christiano R	2014
YPL120W	hr	9.2	Christiano R	2014
YPL123C	hr	16.7	Christiano R	2014
YPL125W	hr	12.5	Christiano R	2014
YPL126W	hr	8.0	Christiano R	2014
YPL127C	hr	3.5	Christiano R	2014
YPL128C	hr	8.4	Christiano R	2014
YPL129W	hr	10.5	Christiano R	2014
YPL131W	hr	10.7	Christiano R	2014
YPL132W	hr	8.9	Christiano R	2014
YPL133C	hr	5.3	Christiano R	2014
YPL134C	hr	9.5	Christiano R	2014
YPL135W	min	48.8	Christiano R	2014
YPL137C	hr	6.0	Christiano R	2014
YPL138C	hr	8.1	Christiano R	2014
YPL140C	hr	3.9	Christiano R	2014
YPL141C	hr	7.4	Christiano R	2014
YPL143W	hr	9.7	Christiano R	2014
YPL144W	hr	13.1	Christiano R	2014
YPL145C	hr	10.7	Christiano R	2014
YPL146C	hr	9.4	Christiano R	2014
YPL151C	hr	7.8	Christiano R	2014
YPL152W	hr	9.1	Christiano R	2014
YPL153C	hr	7.8	Christiano R	2014
YPL154C	hr	8.0	Christiano R	2014
YPL160W	hr	10.7	Christiano R	2014
YPL161C	hr	9.5	Christiano R	2014
YPL168W	hr	5.3	Christiano R	2014
YPL169C	hr	9.4	Christiano R	2014
YPL170W	hr	6.7	Christiano R	2014
YPL173W	hr	6.4	Christiano R	2014
YPL176C	hr	1.2	Christiano R	2014
YPL178W	hr	8.7	Christiano R	2014
YPL180W	hr	7.1	Christiano R	2014
YPL181W	hr	3.0	Christiano R	2014
YPL183C	hr	8.9	Christiano R	2014
YPL184C	hr	12.2	Christiano R	2014
YPL186C	hr	4.9	Christiano R	2014
YPL187W	min	13.9	Christiano R	2014
YPL188W	hr	9.4	Christiano R	2014
YPL190C	hr	5.1	Christiano R	2014
YPL191C	hr	5.6	Christiano R	2014
YPL193W	hr	3.0	Christiano R	2014
YPL194W	hr	3.6	Christiano R	2014
YPL195W	hr	8.2	Christiano R	2014
YPL196W	hr	8.0	Christiano R	2014
YPL198W	hr	7.6	Christiano R	2014
YPL199C	hr	7.9	Christiano R	2014
YPL204W	hr	6.6	Christiano R	2014
YPL206C	hr	8.8	Christiano R	2014
YPL207W	hr	4.6	Christiano R	2014
YPL208W	hr	15.9	Christiano R	2014
YPL210C	hr	9.4	Christiano R	2014
YPL211W	hr	12.0	Christiano R	2014
YPL212C	hr	9.2	Christiano R	2014
YPL215W	hr	6.9	Christiano R	2014
YPL217C	hr	8.7	Christiano R	2014
YPL218W	hr	9.0	Christiano R	2014
YPL219W	hr	7.7	Christiano R	2014
YPL221W	hr	3.5	Christiano R	2014
YPL222W	hr	11.4	Christiano R	2014
YPL225W	hr	11.1	Christiano R	2014
YPL226W	hr	9.0	Christiano R	2014
YPL227C	hr	10.4	Christiano R	2014
YPL228W	hr	7.3	Christiano R	2014
YPL231W	hr	11.8	Christiano R	2014
YPL232W	hr	6.4	Christiano R	2014
YPL233W	hr	9.9	Christiano R	2014
YPL235W	hr	10.5	Christiano R	2014
YPL237W	hr	9.6	Christiano R	2014
YPL239W	hr	10.8	Christiano R	2014
YPL240C	hr	65.0	Christiano R	2014
YPL241C	hr	9.5	Christiano R	2014
YPL242C	hr	19.7	Christiano R	2014
YPL243W	hr	9.9	Christiano R	2014
YPL245W	hr	9.2	Christiano R	2014
YPL246C	hr	8.7	Christiano R	2014
YPL247C	hr	10.6	Christiano R	2014
YPL249C	hr	11.3	Christiano R	2014
YPL249C-A	hr	9.7	Christiano R	2014
YPL252C	hr	11.1	Christiano R	2014
YPL253C	min	56.1	Christiano R	2014
YPL254W	hr	6.7	Christiano R	2014
YPL255W	hr	12.0	Christiano R	2014
YPL259C	hr	8.9	Christiano R	2014
YPL260W	hr	11.0	Christiano R	2014
YPL262W	hr	9.4	Christiano R	2014
YPL263C	hr	15.7	Christiano R	2014
YPL265W	hr	2.6	Christiano R	2014
YPL266W	hr	8.3	Christiano R	2014
YPL270W	hr	6.5	Christiano R	2014
YPL271W	hr	6.2	Christiano R	2014
YPL274W	hr	3.9	Christiano R	2014
YPR001W	hr	11.7	Christiano R	2014
YPR004C	hr	9.1	Christiano R	2014
YPR008W	hr	7.8	Christiano R	2014
YPR010C	hr	5.6	Christiano R	2014
YPR011C	hr	4.2	Christiano R	2014
YPR016C	hr	10.8	Christiano R	2014
YPR017C	hr	8.0	Christiano R	2014
YPR018W	hr	5.7	Christiano R	2014
YPR019W	hr	10.1	Christiano R	2014
YPR020W	hr	6.9	Christiano R	2014
YPR021C	hr	6.5	Christiano R	2014
YPR023C	hr	6.6	Christiano R	2014
YPR025C	hr	11.3	Christiano R	2014
YPR028W	hr	9.6	Christiano R	2014
YPR029C	hr	10.9	Christiano R	2014
YPR032W	hr	7.0	Christiano R	2014
YPR033C	hr	7.3	Christiano R	2014
YPR034W	hr	10.1	Christiano R	2014
YPR035W	hr	6.7	Christiano R	2014
YPR036W	hr	11.3	Christiano R	2014
YPR037C	hr	6.0	Christiano R	2014
YPR040W	hr	12.0	Christiano R	2014
YPR041W	hr	10.9	Christiano R	2014
YPR045C	hr	5.3	Christiano R	2014
YPR047W	hr	6.8	Christiano R	2014
YPR048W	hr	7.0	Christiano R	2014
YPR051W	hr	4.9	Christiano R	2014
YPR052C	hr	8.8	Christiano R	2014
YPR055W	hr	9.8	Christiano R	2014
YPR056W	hr	8.0	Christiano R	2014
YPR057W	hr	7.0	Christiano R	2014
YPR058W	hr	9.4	Christiano R	2014
YPR060C	hr	12.6	Christiano R	2014
YPR062W	hr	7.2	Christiano R	2014
YPR063C	hr	10.4	Christiano R	2014
YPR065W	min	29.6	Christiano R	2014
YPR067W	hr	7.8	Christiano R	2014
YPR069C	hr	12.3	Christiano R	2014
YPR072W	hr	8.1	Christiano R	2014
YPR073C	hr	12.0	Christiano R	2014
YPR074C	hr	13.5	Christiano R	2014
YPR075C	hr	2.0	Christiano R	2014
YPR079W	hr	3.7	Christiano R	2014
YPR083W	hr	7.3	Christiano R	2014
YPR085C	hr	16.4	Christiano R	2014
YPR086W	hr	7.1	Christiano R	2014
YPR088C	hr	7.0	Christiano R	2014
YPR089W	hr	9.5	Christiano R	2014
YPR091C	hr	9.7	Christiano R	2014
YPR094W	hr	5.8	Christiano R	2014
YPR095C	hr	3.8	Christiano R	2014
YPR097W	hr	10.6	Christiano R	2014
YPR098C	hr	6.9	Christiano R	2014
YPR101W	hr	7.4	Christiano R	2014
YPR103W	hr	10.6	Christiano R	2014
YPR104C	hr	4.5	Christiano R	2014
YPR105C	hr	12.4	Christiano R	2014
YPR107C	hr	7.2	Christiano R	2014
YPR108W	hr	11.7	Christiano R	2014
YPR110C	hr	9.6	Christiano R	2014
YPR111W	hr	9.2	Christiano R	2014
YPR112C	hr	6.2	Christiano R	2014
YPR113W	hr	8.2	Christiano R	2014
YPR114W	hr	10.0	Christiano R	2014
YPR115W	hr	7.1	Christiano R	2014
YPR116W	hr	5.8	Christiano R	2014
YPR118W	hr	9.6	Christiano R	2014
YPR119W	min	31.0	Christiano R	2014
YPR125W	hr	9.2	Christiano R	2014
YPR127W	hr	11.7	Christiano R	2014
YPR128C	hr	7.7	Christiano R	2014
YPR129W	hr	9.6	Christiano R	2014
YPR131C	hr	11.7	Christiano R	2014
YPR133C	hr	8.6	Christiano R	2014
YPR133W-A	hr	9.4	Christiano R	2014
YPR135W	hr	9.6	Christiano R	2014
YPR137W	hr	9.3	Christiano R	2014
YPR139C	hr	13.1	Christiano R	2014
YPR140W	hr	5.3	Christiano R	2014
YPR141C	hr	4.7	Christiano R	2014
YPR143W	hr	8.5	Christiano R	2014
YPR144C	hr	11.3	Christiano R	2014
YPR145W	hr	19.1	Christiano R	2014
YPR147C	hr	12.0	Christiano R	2014
YPR148C	hr	10.6	Christiano R	2014
YPR152C	hr	9.1	Christiano R	2014
YPR154W	hr	6.3	Christiano R	2014
YPR155C	hr	1.4	Christiano R	2014
YPR156C	hr	7.1	Christiano R	2014
YPR158C-D	hr	5.2	Christiano R	2014
YPR159W	hr	2.8	Christiano R	2014
YPR160W	hr	8.1	Christiano R	2014
YPR161C	hr	8.1	Christiano R	2014
YPR162C	hr	8.0	Christiano R	2014
YPR163C	hr	9.7	Christiano R	2014
YPR165W	hr	17.8	Christiano R	2014
YPR166C	hr	4.8	Christiano R	2014
YPR168W	hr	8.6	Christiano R	2014
YPR169W	hr	10.1	Christiano R	2014
YPR171W	hr	6.2	Christiano R	2014
YPR172W	hr	11.9	Christiano R	2014
YPR173C	hr	7.0	Christiano R	2014
YPR174C	hr	21.0	Christiano R	2014
YPR175W	hr	11.3	Christiano R	2014
YPR176C	hr	22.8	Christiano R	2014
YPR178W	hr	11.6	Christiano R	2014
YPR179C	hr	8.8	Christiano R	2014
YPR180W	hr	8.2	Christiano R	2014
YPR181C	hr	10.8	Christiano R	2014
YPR182W	hr	10.1	Christiano R	2014
YPR183W	hr	14.7	Christiano R	2014
YPR185W	hr	13.6	Christiano R	2014
YPR186C	hr	7.4	Christiano R	2014
YPR187W	hr	5.9	Christiano R	2014
YPR188C	hr	3.3	Christiano R	2014
YPR189W	hr	9.5	Christiano R	2014
YPR190C	hr	10.1	Christiano R	2014
YPR191W	hr	10.5	Christiano R	2014
